School Name,Address,GSO Rating,Academic Progress,Test Scores,Equity Scores,School Types,Star Rating,Review Link,School Link,City,IsPreK,IsElementary,IsMiddle,IsHigh,Normalized Test Scores,Normalized Academic Progress,Normalized Equity Scores,Composite Score,Score Category,Private,Public District,Public Charter,lat,lon
Campbell Hall (Episcopal),"4533 LAUREL CANYON BLVD, Los Angeles, CA, 91607",1,,,,"['Elementary school', 'Middle school', 'High school', 'Private']",3.6,https://www.greatschools.org/california/los-angeles/8998-Campbell-Hall-Episcopal/reviews/,https://www.greatschools.org/california/los-angeles/8998-Campbell-Hall-Episcopal/,Los Angeles,False,True,True,True,,,,,Data Not Available,True,False,False,34.1657396,-118.3964992
White Memorial Adventist School,"1605 New Jersey Street, Los Angeles, CA, 90033",1,,,,"['Elementary school', 'Middle school', 'Private']",,,https://www.greatschools.org/california/los-angeles/9062-White-Memorial-Adventist-School/,Los Angeles,False,True,True,False,,,,,Data Not Available,True,False,False,34.2458876,-118.50568473775343
St.Michael Elementary School,"1027 West 87th Street, Los Angeles, CA, 90044",1,,,,"['Elementary school', 'Middle school', 'Private']",4.5,https://www.greatschools.org/california/los-angeles/9079-St.Michael-Elementary-School/reviews/,https://www.greatschools.org/california/los-angeles/9079-St.Michael-Elementary-School/,Los Angeles,False,True,True,False,,,,,Data Not Available,True,False,False,34.259202,-118.523241
Miracle Baptist Christian School,"8300 South Central Avenue, Los Angeles, CA, 90001",1,,,,"['Elementary school', 'Middle school', 'Private']",3.5,,https://www.greatschools.org/california/los-angeles/9114-Miracle-Baptist-Christian-School/,Los Angeles,False,True,True,False,,,,,Data Not Available,True,False,False,34.04364612244898,-118.37166514285714
Granada Preparatory School,"10400 Zelzah Avenue, Los Angeles, CA, 91326",1,,,,"['Pre-K', 'Elementary school', 'Middle school', 'Private']",4.9,https://www.greatschools.org/california/los-angeles/9125-Granada-Preparatory-School/reviews/,https://www.greatschools.org/california/chatsworth/9125-Chatsworth-Hills-Academy/,Los Angeles,True,True,True,False,,,,,Data Not Available,True,False,False,34.24053025,-118.50638115273475
Magnolia Science Academy 6 School,"3754 Dunn Drive, Los Angeles, CA, 90034",9,10.0,8.0,7.0,"['Middle school', 'Public charter']",4.4,https://www.greatschools.org/california/los-angeles/25146-Magnolia-Science-Academy-6-School/reviews/,https://www.greatschools.org/california/los-angeles/25146-Magnolia-Science-Academy-6-School/,Los Angeles,False,False,True,False,0.8,1.0,0.7,8.0,Above Average,False,True,False,34.13330540816327,-118.20604510204082
Science Academy STEM Magnet,"5525 Vineland Ave., Los Angeles, CA, 91601",9,7.0,10.0,10.0,"['Middle school', 'High school', 'Public district']",4.1,https://www.greatschools.org/california/los-angeles/32473-Science-Academy-STEM-Magnet/reviews/,https://www.greatschools.org/california/north-hollywood/32473-Science-Academy-STEM-Magnet/,Los Angeles,False,False,True,True,1.0,0.7,1.0,9.0,Above Average,False,False,True,34.17058395918367,-118.37038122448979
"Girls Academic Leadership Academy, Dr. Michelle King School For Sci, Tech, Eng And Math","1067 West Boulevard, Los Angeles, CA, 90019",9,7.0,10.0,10.0,"['Middle school', 'High school', 'Public district']",4.3,https://www.greatschools.org/california/los-angeles/32475-Girls-Academic-Leadership-Academy-Dr.-Michelle-King-School-For-Sci-Tech-Eng-And-Math/reviews/,https://www.greatschools.org/california/los-angeles/32475-Girls-Academic-Leadership-Academy-Dr.-Michelle-King-School-For-Sci-Tech-Eng-And-Math/,Los Angeles,False,False,True,True,1.0,0.7,1.0,9.0,Above Average,False,False,True,34.263466488659354,-118.47968066808637
Robert Frost Middle School,"12314 Bradford Pl., Los Angeles, CA, 91344",8,6.0,9.0,10.0,"['Middle school', 'Public district']",3.3,https://www.greatschools.org/california/los-angeles/2092-Robert-Frost-Middle-School/reviews/,https://www.greatschools.org/california/granada-hills/2092-Robert-Frost-Middle-School/,Los Angeles,False,False,True,False,0.9,0.6,1.0,8.0,Above Average,False,False,True,34.294212785714286,-118.51212178571429
Los Angeles Center For Enriched Studies,"5931 West 18th Street, Los Angeles, CA, 90035",8,6.0,9.0,6.0,"['Middle school', 'High school', 'Public district']",4.3,https://www.greatschools.org/california/los-angeles/10955-Los-Angeles-Center-For-Enriched-Studies/reviews/,https://www.greatschools.org/california/los-angeles/10955-Los-Angeles-Center-For-Enriched-Studies/,Los Angeles,False,False,True,True,0.9,0.6,0.6,7.0,Above Average,False,False,True,34.078766836734694,-118.26126965306122
